year,month,day,home_team,away_team,stage,result,shootouts,home_score,home_is_host,home_goals_scored_last_4y,home_goals_received_last_4y,home_wins_last_4y,home_losses_last_4y,home_draws_last_4y,home_wc_titles_before,home_total_market_value_eur,home_avg_age,home_wc_participations_before,home_groups_passed_before,home_round16_before,home_quarterfinals_before,home_semifinals_before,home_finals_before,away_score,away_is_host,away_goals_scored_last_4y,away_goals_received_last_4y,away_wins_last_4y,away_losses_last_4y,away_draws_last_4y,away_wc_titles_before,away_total_market_value_eur,away_avg_age,away_wc_participations_before,away_groups_passed_before,away_round16_before,away_quarterfinals_before,away_semifinals_before,away_finals_before,elo_home,elo_away
2006,6,13,France,Switzerland,0,2.0,0,0.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,0.0,0,64,46,17,9,13,0,322100000.0,27.9,7,4,3,3,0,0,1500.0,1500.0
2006,6,13,South Korea,Togo,0,0.0,0,2.0,0,103,45,30,17,17,0,139750000.0,27.9,6,1,1,1,1,0,1.0,0,44,37,17,12,5,0,29750000.0,25.4,0,0,0,0,0,0,1500.0,1500.0
2006,6,14,Germany,Poland,0,0.0,0,1.0,1,107,66,26,12,14,3,776500000.0,27.7,15,15,7,13,10,7,0.0,0,102,54,32,14,7,0,214500000.0,27.6,6,5,2,2,2,0,1517.5,1482.0
2006,6,14,Spain,Ukraine,0,0.0,0,4.0,0,88,23,29,2,14,0,1310000000.0,26.6,11,7,5,4,0,0,0.0,0,46,30,15,9,16,0,266700000.0,26.6,0,0,0,0,0,0,1517.5,1482.0
2006,6,14,Tunisia,Saudi Arabia,0,2.0,0,2.0,0,76,44,26,9,14,0,50600000.0,25.6,3,0,0,0,0,0,2.0,0,109,59,31,16,18,0,30350000.0,27.2,3,1,1,0,0,0,1503.75,1496.0
2006,6,15,Ecuador,Costa Rica,0,0.0,0,3.0,0,59,73,17,22,12,0,387830000.0,25.7,1,0,0,0,0,0,0.0,0,89,84,26,25,11,0,18400000.0,24.7,2,1,1,0,0,0,1534.41,1481.9
2006,6,15,England,Trinidad and Tobago,0,0.0,0,2.0,0,83,42,27,7,8,1,1620000000.0,27.2,11,9,4,7,2,1,0.0,0,99,95,32,30,11,0,10100000.0,24.6,0,0,0,0,0,0,1483.0,1500.0
2006,6,15,Sweden,Paraguay,0,0.0,0,1.0,0,103,52,22,12,18,0,363780000.0,26.3,10,7,3,4,3,1,0.0,0,53,49,18,12,17,0,141850000.0,29.1,6,3,3,0,0,0,1533.81,1498.81
2006,6,16,Argentina,Serbia,0,0.0,0,6.0,0,97,55,31,10,10,2,777200000.0,27.8,13,10,5,6,4,4,0.0,0,46,42,13,13,12,0,294500000.0,26.9,9,7,2,5,2,0,1466.0,1501.0
2006,6,16,Mexico,Angola,0,2.0,0,0.0,0,126,54,37,15,15,0,165800000.0,27.8,12,5,4,2,0,0,0.0,0,61,49,19,13,14,0,52700000.0,29.2,0,0,0,0,0,0,1550.14,1517.0
2006,6,16,Netherlands,Ivory Coast,0,0.0,0,2.0,0,88,30,28,7,12,0,766000000.0,27.0,7,7,5,4,3,2,1.0,0,67,34,21,8,8,0,410900000.0,25.8,0,0,0,0,0,0,1550.15,1517.0
2006,6,17,Czech Republic,Ghana,0,1.0,0,0.0,0,113,37,33,7,5,0,172800000.0,28.0,0,0,0,0,0,0,2.0,0,58,39,15,13,12,0,191280000.0,26.6,0,0,0,0,0,0,1501.0,1501.0
2006,6,17,Italy,United States,0,2.0,0,1.0,0,71,33,25,5,15,3,838500000.0,26.5,15,10,7,8,7,5,1.0,0,108,38,38,10,13,0,350700000.0,26.3,7,4,3,2,1,0,1503.75,1500.0
2006,6,17,Portugal,Iran,0,0.0,0,2.0,0,104,35,29,6,12,0,864500000.0,27.0,3,1,0,1,1,0,0.0,0,113,44,32,8,10,0,38880000.0,29.2,2,0,0,0,0,0,1566.54,1566.53
2006,6,18,Brazil,Australia,0,0.0,0,2.0,0,117,47,30,9,17,5,858500000.0,27.1,17,15,7,11,9,6,0.0,0,101,34,23,8,5,0,48030000.0,27.1,1,0,0,0,0,0,1500.0,1500.0
2006,6,18,France,South Korea,0,2.0,0,1.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,1.0,0,103,45,30,17,17,0,139750000.0,27.9,6,1,1,1,1,0,1500.0,1500.0
2006,6,18,Japan,Croatia,0,2.0,0,0.0,0,111,63,36,17,15,0,262200000.0,26.3,2,1,1,0,0,0,0.0,0,72,45,22,10,14,0,282300000.0,28.2,2,1,1,1,1,0,1488.0,1512.5
2006,6,19,Saudi Arabia,Ukraine,0,1.0,0,0.0,0,109,59,31,16,18,0,30350000.0,27.2,3,1,1,0,0,0,4.0,0,46,30,15,9,16,0,266700000.0,26.6,0,0,0,0,0,0,1500.0,1500.0
2006,6,19,Spain,Tunisia,0,0.0,0,3.0,0,88,23,29,2,14,0,1310000000.0,26.6,11,7,5,4,0,0,1.0,0,76,44,26,9,14,0,50600000.0,25.6,3,0,0,0,0,0,1503.75,1496.0
2006,6,19,Togo,Switzerland,0,1.0,0,0.0,0,44,37,17,12,5,0,29750000.0,25.4,0,0,0,0,0,0,2.0,0,64,46,17,9,13,0,322100000.0,27.9,7,4,3,3,0,0,1500.0,1500.0
2006,6,20,Costa Rica,Poland,0,1.0,0,1.0,0,89,84,26,25,11,0,18400000.0,24.7,2,1,1,0,0,0,2.0,0,102,54,32,14,7,0,214500000.0,27.6,6,5,2,2,2,0,1500.0,1500.0
2006,6,20,Germany,Ecuador,0,0.0,0,3.0,1,107,66,26,12,14,3,776500000.0,27.7,15,15,7,13,10,7,0.0,0,59,73,17,22,12,0,387830000.0,25.7,1,0,0,0,0,0,1500.0,1500.0
2006,6,20,Paraguay,Trinidad and Tobago,0,0.0,0,2.0,0,53,49,18,12,17,0,141850000.0,29.1,6,3,3,0,0,0,0.0,0,99,95,32,30,11,0,10100000.0,24.6,0,0,0,0,0,0,1500.0,1500.0
2006,6,20,Sweden,England,0,2.0,0,2.0,0,103,52,22,12,18,0,363780000.0,26.3,10,7,3,4,3,1,2.0,0,83,42,27,7,8,1,1620000000.0,27.2,11,9,4,7,2,1,1503.75,1500.0
2006,6,21,Iran,Angola,0,2.0,0,1.0,0,113,44,32,8,10,0,38880000.0,29.2,2,0,0,0,0,0,1.0,0,61,49,19,13,14,0,52700000.0,29.2,0,0,0,0,0,0,1503.75,1500.0
2006,6,21,Ivory Coast,Serbia,0,0.0,0,3.0,0,67,34,21,8,8,0,410900000.0,25.8,0,0,0,0,0,0,2.0,0,46,42,13,13,12,0,294500000.0,26.9,9,7,2,5,2,0,1513.0,1491.16
2006,6,21,Netherlands,Argentina,0,2.0,0,0.0,0,88,30,28,7,12,0,766000000.0,27.0,7,7,5,4,3,2,0.0,0,97,55,31,10,10,2,777200000.0,27.8,13,10,5,6,4,4,1507.47,1500.0
2006,6,21,Portugal,Mexico,0,0.0,0,2.0,0,104,35,29,6,12,0,864500000.0,27.0,3,1,0,1,1,0,1.0,0,126,54,37,15,15,0,165800000.0,27.8,12,5,4,2,0,0,1500.0,1500.0
2006,6,22,Croatia,Australia,0,2.0,0,2.0,0,72,45,22,10,14,0,282300000.0,28.2,2,1,1,1,1,0,2.0,0,101,34,23,8,5,0,48030000.0,27.1,1,0,0,0,0,0,1496.0,1500.0
2006,6,22,Czech Republic,Italy,0,1.0,0,0.0,0,113,37,33,7,5,0,172800000.0,28.0,0,0,0,0,0,0,2.0,0,71,33,25,5,15,3,838500000.0,26.5,15,10,7,8,7,5,1500.0,1500.0
2006,6,22,Ghana,United States,0,0.0,0,2.0,0,58,39,15,13,12,0,191280000.0,26.6,0,0,0,0,0,0,1.0,0,108,38,38,10,13,0,350700000.0,26.3,7,4,3,2,1,0,1507.47,1496.0
2006,6,22,Japan,Brazil,0,1.0,0,1.0,0,111,63,36,17,15,0,262200000.0,26.3,2,1,1,0,0,0,4.0,0,117,47,30,9,17,5,858500000.0,27.1,17,15,7,11,9,6,1499.78,1496.0
2006,6,23,Saudi Arabia,Spain,0,1.0,0,0.0,0,109,59,31,16,18,0,30350000.0,27.2,3,1,1,0,0,0,1.0,0,88,23,29,2,14,0,1310000000.0,26.6,11,7,5,4,0,0,1512.5,1496.0
2006,6,23,Switzerland,South Korea,0,0.0,0,2.0,0,64,46,17,9,13,0,322100000.0,27.9,7,4,3,3,0,0,0.0,0,103,45,30,17,17,0,139750000.0,27.9,6,1,1,1,1,0,1500.0,1500.0
2006,6,23,Togo,France,0,1.0,0,0.0,0,44,37,17,12,5,0,29750000.0,25.4,0,0,0,0,0,0,2.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,1516.13,1500.0
2006,6,23,Ukraine,Tunisia,0,0.0,0,1.0,0,46,30,15,9,16,0,266700000.0,26.6,0,0,0,0,0,0,0.0,0,76,44,26,9,14,0,50600000.0,25.6,3,0,0,0,0,0,1496.25,1504.0
2006,6,24,Argentina,Mexico,1,0.0,0,2.0,0,97,55,31,10,10,2,777200000.0,27.8,13,10,5,6,4,4,1.0,0,126,54,37,15,15,0,165800000.0,27.8,12,5,4,2,0,0,1500.0,1500.0
2006,6,24,Germany,Sweden,1,0.0,0,2.0,1,107,66,26,12,14,3,776500000.0,27.7,15,15,7,13,10,7,0.0,0,103,52,22,12,18,0,363780000.0,26.3,10,7,3,4,3,1,1488.0,1512.26
2006,6,25,England,Ecuador,1,0.0,0,1.0,0,83,42,27,7,8,1,1620000000.0,27.2,11,9,4,7,2,1,0.0,0,59,73,17,22,12,0,387830000.0,25.7,1,0,0,0,0,0,1500.0,1492.0
2006,6,25,Portugal,Netherlands,1,0.0,0,1.0,0,104,35,29,6,12,0,864500000.0,27.0,3,1,0,1,1,0,0.0,0,88,30,28,7,12,0,766000000.0,27.0,7,7,5,4,3,2,1503.69,1503.75
2006,6,26,Italy,Australia,1,0.0,0,1.0,0,71,33,25,5,15,3,838500000.0,26.5,15,10,7,8,7,5,0.0,0,101,34,23,8,5,0,48030000.0,27.1,1,0,0,0,0,0,1488.0,1512.5
2006,6,26,Switzerland,Ukraine,1,1.0,1,0.0,0,64,46,17,9,13,0,322100000.0,27.9,7,4,3,3,0,0,0.0,0,46,30,15,9,16,0,266700000.0,26.6,0,0,0,0,0,0,1524.98,1504.0
2006,6,27,Brazil,Ghana,1,0.0,0,3.0,0,117,47,30,9,17,5,858500000.0,27.1,17,15,7,11,9,6,0.0,0,58,39,15,13,12,0,191280000.0,26.6,0,0,0,0,0,0,1512.0,1487.5
2006,6,27,Spain,France,1,1.0,0,1.0,0,88,23,29,2,14,0,1310000000.0,26.6,11,7,5,4,0,0,3.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,1500.0,1500.0
2006,6,30,Germany,Argentina,1,0.0,1,1.0,1,107,66,26,12,14,3,776500000.0,27.7,15,15,7,13,10,7,1.0,0,97,55,31,10,10,2,777200000.0,27.8,13,10,5,6,4,4,1500.0,1500.0
2006,6,30,Italy,Ukraine,1,0.0,0,3.0,0,71,33,25,5,15,3,838500000.0,26.5,15,10,7,8,7,5,0.0,0,46,30,15,9,16,0,266700000.0,26.6,0,0,0,0,0,0,1512.5,1488.0
2006,7,1,Brazil,France,1,1.0,0,0.0,0,117,47,30,9,17,5,858500000.0,27.1,17,15,7,11,9,6,1.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,1500.0,1511.14
2006,7,1,England,Portugal,1,1.0,1,0.0,0,83,42,27,7,8,1,1620000000.0,27.2,11,9,4,7,2,1,0.0,0,104,35,29,6,12,0,864500000.0,27.0,3,1,0,1,1,0,1500.0,1500.0
2006,7,4,Germany,Italy,1,1.0,0,0.0,1,107,66,26,12,14,3,776500000.0,27.7,15,15,7,13,10,7,2.0,0,71,33,25,5,15,3,838500000.0,26.5,15,10,7,8,7,5,1503.69,1500.0
2006,7,5,Portugal,France,1,1.0,0,0.0,0,104,35,29,6,12,0,864500000.0,27.0,3,1,0,1,1,0,1.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,1504.0,1500.0
2006,7,8,Germany,Portugal,1,0.0,0,3.0,1,107,66,26,12,14,3,776500000.0,27.7,15,15,7,13,10,7,1.0,0,104,35,29,6,12,0,864500000.0,27.0,3,1,0,1,1,0,1500.0,1500.0
2006,7,9,Italy,France,1,0.0,1,1.0,0,71,33,25,5,15,3,838500000.0,26.5,15,10,7,8,7,5,1.0,0,100,23,33,3,13,1,1350000000.0,26.8,11,6,4,5,4,1,1500.0,1500.0
2010,6,11,South Africa,Mexico,0,2.0,0,1.0,1,80,54,31,22,17,0,46350000.0,26.3,2,0,0,0,0,0,1.0,0,133,67,42,19,10,0,142100000.0,25.7,13,6,5,2,0,0,1500.0,1500.0
2010,6,11,Uruguay,France,0,2.0,0,0.0,0,71,47,19,11,13,2,419200000.0,26.6,10,7,2,4,3,1,0.0,0,67,37,26,11,11,1,1290000000.0,26.8,12,7,5,6,5,2,1500.0,1500.0
2010,6,12,Argentina,Nigeria,0,0.0,0,1.0,0,84,50,29,12,8,2,575000000.0,27.9,14,11,6,7,4,4,0.0,0,58,29,24,8,12,0,281780000.0,27.5,3,2,2,0,0,0,1500.0,1500.0
2010,6,12,England,United States,0,2.0,0,1.0,0,93,32,27,9,6,1,1300000000.0,26.8,12,10,5,8,2,1,1.0,0,112,74,36,19,6,0,169700000.0,26.0,8,4,3,2,1,0,1500.0,1500.0
2010,6,12,South Korea,Greece,0,0.0,0,2.0,0,81,43,26,11,18,0,118800000.0,27.6,7,1,1,1,1,0,0.0,0,63,49,21,14,8,0,254700000.0,26.4,1,0,0,0,0,0,1500.0,1500.0
2010,6,13,Algeria,Slovenia,0,1.0,0,0.0,0,43,46,18,14,7,0,229300000.0,26.5,2,0,0,0,0,0,1.0,0,47,40,14,16,6,0,150600000.0,27.7,1,0,0,0,0,0,1500.0,1500.0
2010,6,13,Germany,Australia,0,0.0,0,4.0,0,119,36,34,7,8,3,828000000.0,26.7,16,16,8,14,11,7,0.0,0,59,33,23,10,12,0,32850000.0,27.6,2,1,1,0,0,0,1500.0,1500.0
2010,6,13,Serbia,Ghana,0,1.0,0,0.0,0,77,41,23,11,11,0,266700000.0,26.7,10,7,2,5,2,0,1.0,0,73,52,26,15,9,0,164930000.0,25.1,1,1,1,0,0,0,1500.0,1500.0
2010,6,14,Italy,Paraguay,0,2.0,0,1.0,0,69,45,24,9,14,4,827000000.0,27.3,16,11,8,9,8,6,1.0,0,52,54,17,18,14,0,123950000.0,28.4,7,3,3,0,0,0,1500.0,1500.0
2010,6,14,Japan,Cameroon,0,0.0,0,1.0,0,117,53,36,13,17,0,223500000.0,26.5,3,1,1,0,0,0,0.0,0,76,45,22,11,10,0,256030000.0,25.6,5,1,1,1,0,0,1500.0,1500.0
2010,6,14,Netherlands,Denmark,0,0.0,0,2.0,0,95,31,33,5,10,0,808000000.0,26.7,8,8,6,4,3,2,0.0,0,61,40,19,12,11,0,381600000.0,27.2,3,3,3,1,0,0,1500.0,1500.0
2010,6,15,Brazil,North Korea,0,0.0,0,2.0,0,114,37,38,5,11,5,932000000.0,27.8,18,16,8,12,9,6,1.0,0,89,44,21,15,19,0,6900000.0,25.3,1,1,0,1,0,0,1500.0,1500.0
2010,6,15,Ivory Coast,Portugal,0,2.0,0,0.0,0,96,41,26,9,13,0,370800000.0,26.6,1,0,0,0,0,0,0.0,0,80,38,25,8,13,0,841000000.0,27.1,4,2,1,2,2,0,1500.0,1500.0
2010,6,15,New Zealand,Slovakia,0,2.0,0,1.0,0,28,40,8,11,4,0,16430000.0,27.8,1,0,0,0,0,0,1.0,0,82,64,18,19,6,0,130050000.0,28.6,0,0,0,0,0,0,1500.0,1500.0
2010,6,16,Honduras,Chile,0,1.0,0,0.0,0,110,63,37,19,8,0,15500000.0,28.1,1,0,0,0,0,0,1.0,0,79,65,31,17,11,0,80300000.0,25.3,7,2,1,1,1,0,1500.0,1500.0
2010,6,16,South Africa,Uruguay,0,1.0,0,0.0,1,80,54,31,22,17,0,46350000.0,26.3,2,0,0,0,0,0,3.0,0,71,47,19,11,13,2,419200000.0,26.6,10,7,2,4,3,1,1500.0,1500.0
2010,6,16,Spain,Switzerland,0,1.0,0,0.0,0,121,31,46,4,4,0,1150000000.0,27.2,12,8,6,4,0,0,1.0,0,58,45,18,15,7,0,251000000.0,27.5,8,5,4,3,0,0,1500.0,1500.0
2010,6,17,Argentina,South Korea,0,0.0,0,4.0,0,84,50,29,12,8,2,575000000.0,27.9,14,11,6,7,4,4,1.0,0,81,43,26,11,18,0,118800000.0,27.6,7,1,1,1,1,0,1500.0,1500.0
2010,6,17,France,Mexico,0,1.0,0,0.0,0,67,37,26,11,11,1,1290000000.0,26.8,12,7,5,6,5,2,2.0,0,133,67,42,19,10,0,142100000.0,25.7,13,6,5,2,0,0,1500.0,1500.0
2010,6,17,Greece,Nigeria,0,0.0,0,2.0,0,63,49,21,14,8,0,254700000.0,26.4,1,0,0,0,0,0,1.0,0,58,29,24,8,12,0,281780000.0,27.5,3,2,2,0,0,0,1500.0,1500.0
2010,6,18,England,Algeria,0,2.0,0,0.0,0,93,32,27,9,6,1,1300000000.0,26.8,12,10,5,8,2,1,0.0,0,43,46,18,14,7,0,229300000.0,26.5,2,0,0,0,0,0,1500.0,1500.0
2010,6,18,Germany,Serbia,0,1.0,0,0.0,0,119,36,34,7,8,3,828000000.0,26.7,16,16,8,14,11,7,1.0,0,77,41,23,11,11,0,266700000.0,26.7,10,7,2,5,2,0,1500.0,1500.0
2010,6,18,Slovenia,United States,0,2.0,0,2.0,0,47,40,14,16,6,0,150600000.0,27.7,1,0,0,0,0,0,2.0,0,112,74,36,19,6,0,169700000.0,26.0,8,4,3,2,1,0,1500.0,1500.0
2010,6,19,Cameroon,Denmark,0,1.0,0,1.0,0,76,45,22,11,10,0,256030000.0,25.6,5,1,1,1,0,0,2.0,0,61,40,19,12,11,0,381600000.0,27.2,3,3,3,1,0,0,1500.0,1500.0
2010,6,19,Ghana,Australia,0,2.0,0,1.0,0,73,52,26,15,9,0,164930000.0,25.1,1,1,1,0,0,0,1.0,0,59,33,23,10,12,0,32850000.0,27.6,2,1,1,0,0,0,1500.0,1500.0
2010,6,19,Netherlands,Japan,0,0.0,0,1.0,0,95,31,33,5,10,0,808000000.0,26.7,8,8,6,4,3,2,0.0,0,117,53,36,13,17,0,223500000.0,26.5,3,1,1,0,0,0,1507.41,1511.0
2010,6,20,Brazil,Ivory Coast,0,0.0,0,3.0,0,114,37,38,5,11,5,932000000.0,27.8,18,16,8,12,9,6,1.0,0,96,41,26,9,13,0,370800000.0,26.6,1,0,0,0,0,0,1500.0,1500.0
2010,6,20,Italy,New Zealand,0,2.0,0,1.0,0,69,45,24,9,14,4,827000000.0,27.3,16,11,8,9,8,6,1.0,0,28,40,8,11,4,0,16430000.0,27.8,1,0,0,0,0,0,1501.88,1496.31
2010,6,20,Slovakia,Paraguay,0,1.0,0,0.0,0,82,64,18,19,6,0,130050000.0,28.6,0,0,0,0,0,0,2.0,0,52,54,17,18,14,0,123950000.0,28.4,7,3,3,0,0,0,1500.0,1500.0
2010,6,21,Chile,Switzerland,0,0.0,0,1.0,0,79,65,31,17,11,0,80300000.0,25.3,7,2,1,1,1,0,0.0,0,58,45,18,15,7,0,251000000.0,27.5,8,5,4,3,0,0,1500.0,1500.0
2010,6,21,Portugal,North Korea,0,0.0,0,7.0,0,80,38,25,8,13,0,841000000.0,27.1,4,2,1,2,2,0,0.0,0,89,44,21,15,19,0,6900000.0,25.3,1,1,0,1,0,0,1500.0,1500.0
2010,6,21,Spain,Honduras,0,0.0,0,2.0,0,121,31,46,4,4,0,1150000000.0,27.2,12,8,6,4,0,0,0.0,0,110,63,37,19,8,0,15500000.0,28.1,1,0,0,0,0,0,1500.0,1500.0
2010,6,22,Greece,Argentina,0,1.0,0,0.0,0,63,49,21,14,8,0,254700000.0,26.4,1,0,0,0,0,0,2.0,0,84,50,29,12,8,2,575000000.0,27.9,14,11,6,7,4,4,1511.19,1500.0
2010,6,22,Mexico,Uruguay,0,1.0,0,0.0,0,133,67,42,19,10,0,142100000.0,25.7,13,6,5,2,0,0,1.0,0,71,47,19,11,13,2,419200000.0,26.6,10,7,2,4,3,1,1500.0,1508.0
2010,6,22,Nigeria,South Korea,0,2.0,0,2.0,0,58,29,24,8,12,0,281780000.0,27.5,3,2,2,0,0,0,2.0,0,81,43,26,11,18,0,118800000.0,27.6,7,1,1,1,1,0,1500.08,1504.0
2010,6,22,South Africa,France,0,0.0,0,2.0,1,80,54,31,22,17,0,46350000.0,26.3,2,0,0,0,0,0,1.0,0,67,37,26,11,11,1,1290000000.0,26.8,12,7,5,6,5,2,1492.0,1500.0
2010,6,23,Australia,Serbia,0,0.0,0,2.0,0,59,33,23,10,12,0,32850000.0,27.6,2,1,1,0,0,0,1.0,0,77,41,23,11,11,0,266700000.0,26.7,10,7,2,5,2,0,1496.0,1504.0
2010,6,23,Ghana,Germany,0,1.0,0,0.0,0,73,52,26,15,9,0,164930000.0,25.1,1,1,1,0,0,0,1.0,0,119,36,34,7,8,3,828000000.0,26.7,16,16,8,14,11,7,1496.0,1500.0
2010,6,23,Slovenia,England,0,1.0,0,0.0,0,47,40,14,16,6,0,150600000.0,27.7,1,0,0,0,0,0,1.0,0,93,32,27,9,6,1,1300000000.0,26.8,12,10,5,8,2,1,1496.25,1496.0
2010,6,23,United States,Algeria,0,0.0,0,1.0,0,112,74,36,19,6,0,169700000.0,26.0,8,4,3,2,1,0,0.0,0,43,46,18,14,7,0,229300000.0,26.5,2,0,0,0,0,0,1503.75,1500.0
2010,6,24,Cameroon,Netherlands,0,1.0,0,1.0,0,76,45,22,11,10,0,256030000.0,25.6,5,1,1,1,0,0,2.0,0,95,31,33,5,10,0,808000000.0,26.7,8,8,6,4,3,2,1496.31,1512.0
2010,6,24,Denmark,Japan,0,1.0,0,1.0,0,61,40,19,12,11,0,381600000.0,27.2,3,3,3,1,0,0,3.0,0,117,53,36,13,17,0,223500000.0,26.5,3,1,1,0,0,0,1500.0,1517.71
2010,6,24,Paraguay,New Zealand,0,2.0,0,0.0,0,52,54,17,18,14,0,123950000.0,28.4,7,3,3,0,0,0,0.0,0,28,40,8,11,4,0,16430000.0,27.8,1,0,0,0,0,0,1482.0,1507.44
2010,6,24,Slovakia,Italy,0,0.0,0,3.0,0,82,64,18,19,6,0,130050000.0,28.6,0,0,0,0,0,0,2.0,0,69,45,24,9,14,4,827000000.0,27.3,16,11,8,9,8,6,1504.0,1500.0
2010,6,25,Chile,Spain,0,1.0,0,1.0,0,79,65,31,17,11,0,80300000.0,25.3,7,2,1,1,1,0,2.0,0,121,31,46,4,4,0,1150000000.0,27.2,12,8,6,4,0,0,1500.0,1500.0
2010,6,25,North Korea,Ivory Coast,0,1.0,0,0.0,0,89,44,21,15,19,0,6900000.0,25.3,1,1,0,1,0,0,3.0,0,96,41,26,9,13,0,370800000.0,26.6,1,0,0,0,0,0,1486.0,1483.09
2010,6,25,Portugal,Brazil,0,2.0,0,0.0,0,80,38,25,8,13,0,841000000.0,27.1,4,2,1,2,2,0,0.0,0,114,37,38,5,11,5,932000000.0,27.8,18,16,8,12,9,6,1509.77,1524.0
2010,6,25,Switzerland,Honduras,0,2.0,0,0.0,0,58,45,18,15,7,0,251000000.0,27.5,8,5,4,3,0,0,0.0,0,110,63,37,19,8,0,15500000.0,28.1,1,0,0,0,0,0,1496.25,1504.0
2010,6,26,Uruguay,South Korea,1,0.0,0,2.0,0,71,47,19,11,13,2,419200000.0,26.6,10,7,2,4,3,1,1.0,0,81,43,26,11,18,0,118800000.0,27.6,7,1,1,1,1,0,1492.75,1535.0
2010,6,26,United States,Ghana,1,1.0,0,1.0,0,112,74,36,19,6,0,169700000.0,26.0,8,4,3,2,1,0,2.0,0,73,52,26,15,9,0,164930000.0,25.1,1,1,1,0,0,0,1541.0,1503.4
2010,6,27,Argentina,Mexico,1,0.0,0,3.0,0,84,50,29,12,8,2,575000000.0,27.9,14,11,6,7,4,4,1.0,0,133,67,42,19,10,0,142100000.0,25.7,13,6,5,2,0,0,1503.75,1504.0
